area_name,mean_risk_index,dominant_class,risk_pixels,very_low_pixels,low_pixels,moderate_pixels,high_pixels,very_high_pixels
Bumthang,1.468549132347107,Very Low,44196,30167,8931,3613,1389,96
Chhukha,1.9817898273468018,Low,30807,11153,11922,5094,2416,222
Dagana,2.664846658706665,Low,28205,1866,13213,6867,5026,1233
Gasa,1.9101827144622803,Low,51126,19756,20008,7830,3262,270
Haa,1.5415769815444946,Very Low,31135,18007,10130,2311,638,49
Lhuentse,1.794227123260498,Low,46493,19083,20157,5136,1971,146
Monggar,2.8488268852233887,Low,31712,1334,12671,9118,6633,1956
Paro,3.1734540462493896,High,21216,0,6259,6493,6989,1475
Pema Gatshel,3.3454220294952393,Moderate,16820,0,2866,6633,5966,1355
Punakha,3.0902647972106934,Moderate,18202,0,5936,5960,5033,1273
Samdrup Jongkhar,2.8069252967834473,Low,30584,2087,11884,8030,7013,1570
Samtse,2.7307229042053223,Low,21580,3380,7559,3987,4800,1854
Sarpang,2.7670488357543945,Low,27216,2359,11670,4781,6764,1642
Thimphu,3.1583001613616943,High,29602,298,9354,7655,9954,2341
Trashigang,2.5429913997650146,Low,35949,4107,15354,10057,5723,708
Trashi Yangtse,1.7022991180419922,Very Low,29664,14301,11117,3071,1126,49
Trongsa,2.7946252822875977,Moderate,10605,145,4018,4386,1982,74
Tsirang,2.1187188625335693,Low,65693,20851,23833,13980,6417,612
Wangdue Phodrang,1.869759202003479,Very Low,23756,12292,5564,2937,2628,335
Zhemgang,2.408064842224121,Low,39381,4386,20032,10142,4149,672
